# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|42|133|0008|42101|1|1|007|093|20140101|00:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|01:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|02:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|03:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|04:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|05:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|06:00|0.4|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|07:00|0.3|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|08:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|09:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|10:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|11:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|12:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|13:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|14:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|15:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|16:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|17:00|0|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|18:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|19:00|0.2|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|20:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|21:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|22:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140101|23:00|0.1|||||||||||||||
RD|I|42|133|0008|42101|1|1|007|093|20140102|00:00|0.1|||||||||||||||
